F1	F2	A1
à	[a]	prép. 在，到
a bas de	[]	loc.prép. 从……跳下
à bientôt	[]	loc.adv. 再见
à cause de	[akozdə]	loc.prép. 因为，由于
à ce moment	[]	loc.adv. 在此刻
à cet égard	[]	loc.adv. 在这一方面，在这一点上
à claire-voie	[]	loc.adv. 留有空隙地
à côté de	[akotedə]	loc.prép. 在……旁边
à distance	[]	loc.adv. 隔一段距离(时间)，远距离
à fond	[]	loc.adv. 完全地，彻底地
à gauche	[]	loc.adv. 在左边
à grand renfort de	[]	loc.prép. 用大量的
à grande échelle	[]	loc.adv. 大规模地，大范围地
à la barbe fleurie	[]	loc.prép. 白胡子的
à la hauteur de	[]	loc.prép. 与……在同一水平线上，与……并排
à la disposition de	[]	loc.prép. 供……使用
à la fin	[]	loc.adv. 结束时
à la fin de	[]	loc.prép. 在……之末
à la fois	[]	loc.adv. 同时
à la française	[]	loc.adv. 用法国人的方式，法国式
babillard ,e	[]	adj. 爱絮叨的
bac	[bak]	n.m. 中学毕业会考，渡轮，槽
bâcler	[bɑkle]	v.t. (俗)草率地做
bactérie	[bakteri]	n.f. 细菌
badaud,e	[]	n. 爱闲逛的人
badge	[badʒ]	n.m. 胸牌，徽章，像章
badigeon	[badiʒɔ̃]	n.m. 石灰浆，扮刷用浆
badigeonner	[badiʒɔne]	v.t. 扮刷
bagage	[bagaʒ]	n.m. 行李
bagagiste	[bagaʒist]	n. (旅馆、车站的)搬行李工
bagarre	[bagar]	n.f. 打群架，吵架
bagarrer(se)	[]	v.pr. 打架，吵架
bague	[bag]	n.f. 戒指，指环
baguette	[bagεt]	n.f. 长棍面包，小棒，小棍 ;筷子
baie	[bε]	n.f. 小海湾，港湾
baignade	[bεɲad]	n.f. (在江河湖海中)洗澡，林浴，浴场
baigner	[bεɲe]	v.t. 浸泡，濒临
baigner (se)	[]	v.pr. 洗海水浴，洗澡
baignoire	[bεɲwar]	n.f. 浴缸
bail	[baj]	n.m. 租约，租金
ça a l'air d'aller	[]	这看上去能行
ça dépend	[]	看情况
ça fait combien	[]	多少钱
ça ne fait rien	[]	没关系
ça ne se fait pas	[]	没这样的习惯，不该那样做
ça sent bon	[]	这真香
ça suffit	[]	这足够了
ça va	[]	行
ça y est	[sajε]	好了，成了，行了
cabale	[kabal]	n.f. 诡计，阴谋集团
cabane	[kaban]	n.f. 简陋的小屋，窝棚
cabine	[kabin]	n.f. 小房间，电话间，试衣间
cabinet de travail	[]	n.m. 工作间，工作室
cacao	[kakao]	n.m. 可可粉，可可茶
cacbemire	[ka∫mir]	n.m. 开司米
cacbot	[ka∫o]	n.m. 单人囚室，监狱
cacher	[ka∫e]	v.t. 藏匿，掩盖
cachette»	[ka∫εt]	loc.adv. 偷偷地，暗地里地
cadavre	[kadavr]	n.m. 死尸，非常虚弱的人
cadeau	[kado]	n.m. 礼物
d'abord	[dabɔr]	loc.adv. 首先
d'accord	[dakɔr]	toc.adv. 同意，赞成
d'ailleurs	[dajœr]	loc.prép. 另外，再者
dame	[dam]	n.f. 夫人，女士
danger	[dɑ̃ʒe]	n.m. 危险
dangereux,se	[]	adj. 危险的
dans	[dɑ̃]	prép. 在……里
dans le cadre de	[dɑ̃ləkadrədə]	在……范围内，在……方面
dans le fond	[]	实际上，到底
dans le sens	[]	在某种意义上
dans le souci de	[]	在……的关心
dans le temps	[]	从前
dans l'ensemble	[]	loc.adv. 大体上，大致上
dans l'espoir que	[]	希望
dans quelques instants	[]	过一会儿
dans son genre	[]	在这一类人中
danse	[dɑ̃s]	n.f. 舞蹈
danser	[dɑ̃se]	v.i. 跳舞
d'après	[daprε]	loc.prép. 根据
date	[dat]	n.f. 日期
eau	[o]	n.f. 水
eau de toilette	[]	n.f. 香水
eau-forte	[ofɔrt]	n.f. 硝镪水
ébahi,e	[ebai]	adj. 极为惊讶的
ébauche	[ebo∫]	n.f. 草图，草样
ébène	[ebεn]	n.f. 乌木
éblouir	[ebluir]	v.t. 耀眼，使眼花
ébranler	[ebrɑ̃le]	v.t. 摇动
ébullition	[ebylisjɔ̃]	n.f. 沸腾
e-business	[]	n.m. 电子商务
écaillé,e	[ekaj]	adj. 有鳞片的
écarquiller	[ekarkije]	v.t. 睁大(眼睛)
écart	[ekar]	n.m. 差距，距离
écart, â '～ de	[]	loc.prép. 远离……
écarté, e	[]	adj. 偏僻的，分开的
écarter	[ekarte]	v.t. 分开，移开
échange	[e∫ãʒ]	n.m. 交流，互换
échantillon	[e∫ɑ̃tijɔ̃]	n.m. 样品，货样
échapper	[se∫ape]	v.t. 逃过，避开
échapper (s')	[]	v.pr. 逃走，溜走，漏出，消逝
fable	[fabl]	n.f. 寓言，神话
fabrique	[fabrik]	n.f. 工场，制造(法)
fabriquer	[fabrike]	v.t. 制造，生产
fabuler	[fabyle]	v.i. 虚构
fabuleux, se	[]	adj. 神奇的，惊人的
façade	[fasad]	n.f. 正面，外观
face	[fas]	n.f. 脸，面，面貌
face à face	[]	lac.adv. 面对面(地)
face de (en...)	[]	loc.prép. 在……对面
facette	[fasεt]	n.f. (多面体的)面
fâché ,e	[]	adj. 生气的，愤怒的
fâcher(se)	[]	v.pr 生气，恼火，悲伤
facile	[fasil]	adj. 容易的，轻而易举的
facilement	[fasilmɑ̃]	adv. 轻而易举地
façon	[fasɔ̃]	n.f. 方式，方法，样子
façon(de toute～)	[]	loc.adv. 无论如何，不管怎样
façonner	[fasɔne]	v.t 加工制造，使成形
fac-similé	[faksimile]	n.m. (真迹的)复制品，传真通讯
facteur	[faktœr]	n.m. 邮递员，因素，要素
factice	[faktis]	adj. 矫揉造作的，人造的，仿制的
gâcher	[gɑ∫e]	v.t. 加水搅拌，草率行事
gâchis	[gɑ∫i]	n.m. 浪费
gager	[gaʒe]	v.t. 打赌，担保，抵押
gagner	[gaɲe]	v.t. 挣(钱)，赢
gai,e	[gεn]	adj. 快乐的，高兴的
gaiement	[gεmɑ̃]	adv. 愉快地，兴高采烈地
gaieté	[gete]	n.f. 快活，高兴
gaillard, e	[]	adj. 坚固的，健壮的，高兴的
gaîté	[]	n.f. 愉快，快乐
galaxie	[galaksi]	n.f. 银河，星系
galère	[galεr]	n.f. 苦役，双桅战船
galerie	[galri]	n.f. 画廊，长廊
galet	[galε]	n.m. 卵石，小滑轮
galette	[galεt]	n.f. 饼，饼状物
galeux,se	[]	adj. 患蜡病的，患疥疮
gallois ,e	[]	adj. 威尔士的
galoche	[galɔ∫]	n.f. 木底皮面套鞋
galop	[galo]	n.m. 奔跑，奔驰
galopant, e	[]	adj. 奔跑的，奔驰的
gamelle	[gamεl]	n.f. 军用饭盒，公用餐
habile	[abil]	adj. 能干的，机灵的
habillement	[abijmɑ̃]	n.m. 服装业
habiller(s')	[]	v.pr. 穿
habilleur, se	[]	n. (剧团的〕服装员
habitable	[abitabl]	adj. 可居住的
habitation	[abitasjɔ̃]	n.f. 住房
habiter	[abite]	v. 居住
habits	[]	n.m.pl. 衣服
habitude	[abityd]	n.f. 习惯
habitude (d~)	[]	loc.adv. 通常，经常
habitué,e	[]	adj.,n. 习惯于……的;常客
habituellement	[abitɥεlmɑ̃]	adv. 习惯地，通常地
hache	[a∫]	n.f. 斧头
haché,e	[a∫]	adj. 剁碎的，切细的
hacher	[a∫e]	v.t. 打磨，切碎
hachis	['a∫i]	n.m. 剁碎的菜
haine	[εn]	n.f. 仇恨，怨恨
haïr	[air]	v.t. 仇恨，憎恶
haire	['εr]	n.f. 粗毛衬衣
haleine	[alεn]	n.f. 气息
ici	[isi]	adv. 这里
ici-bas	[isiba]	adv. 在人世间，在世上
idéal ,e	[]	adj. 理想的
idéaliste	[idealist]	adj. 唯心主义的，空想的
idée	[ide]	n.f. 主意，想法
idée derrière	[]	暗地里有了主意
identifier	[sidɑ̃tifje]	v.t. 辨认，鉴别
identique	[idɑ̃tik]	adj. 同样的，一致的
Identité	[idɑ̃tite]	n.f. 一致，身份
idéologie	[ideɔlɔʒi]	n.f. 意识形态，思想
idiot,e	[idjɔsi]	adj.,n. 白痴的;白痴
idolâtre	[idɔlɑtr]	adj.,n. 崇拜偶像的(人)
idole	[idɔl]	n.f. 偶像
if	[if]	n.m. 紫杉
ignoble	[iɲɔbl]	adj. 卑鄙的，下流的，无耻的
il est question de	[]	关于，问题在于
il paraît que	[]	似乎，好像
il s'agit de	[]	有关，这是
il se fait prier.	[]	扭扭捏捏
il y a	[]	有，存在
jaillir (de)	[]	v.i. 喷出，射出
jalonner	[ʒalɔne]	v. 标出，勾勒出，设桩，立标杆
jalousie	[ʒaluzi]	n.f. 嫉妒，眼红
jaloux, se	[]	adj. 妒忌的
jamais	[ʒamε]	adv. 曾经，历来，从来没有
jamais de la vie	[]	loc.adv. 决不，永远不
jambe	[ʒɑ̃b]	n.f. 腿
jambon	[ʒɑ̃bɔ̃]	n.m. 火腿
janvier	[ʒɑ̃vje]	n.m. 一月
jardin	[ʒardɛ̃]	n.m. 花园
jardinet	[ʒardinε]	n.m. 小园子，小花园
jargon	[ʒargɔ̃]	n.m. 行话，切口
jaser	[ʒɑze]	v.i. 喋喋不休，说长道短
jaune	[ʒon]	adj. 黄色的
jaunir	[ʒonir]	v.t. 使变黄
jazz	[dʒaz]	n.m. 爵士乐
je ne sais quoi	[ʒən(ə)sεkwa]	n.m.inv. 说不上来的东西
je vous en prie	[]	谢谢
jet d'eau	[]	n.m. 喷泉
jeter	[ʒ(ə)te]	v.t. 扔，投，掷
kermesse	[kεrmεs]	n.f. 主保瞻礼节.露天赈济游艺会
kidnapper	[kidnape]	v.t. 绑架，劫持，拐骗
kilo	[kilo, kilɔgram]	n.m. 公斤
kilomètre	[kilɔmεtr]	n.m. 千米，公里
kiosque	[kjɔsk]	n.m. 报刊亭
là	[la]	adv. 那边，那里
là-bas	[labɑ]	adv. 那边，在那边
label	[labεl]	n.m. (商品的)标签，标记
labeur	[labœr]	n.m. 苦工，繁重的劳动
laboratoire	[labɔratwar]	n.m. 实验室
laborieux, se	[]	adj. 勤劳的，勤勉的
labourable	[laburabl]	adj. 可耕种的
laboureur	[laburœr]	n. 耕地者
lac	[lak]	n.m. 湖，湖泊
lacet	[lasε]	n.m. 鞋带，束带，曲折，绳圈
lâche	[lɑ∫]	adj. 潦草的，草率完成的，懦弱的
là-dedans	[lad(ə)dɑ̃]	adv. 在里面
là-dessus	[ladsy]	adv. 在这点上，在这方面
